 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"5","Ludvig Malberg","Manhattan","Sr.","6-4","GK","16","1422:27","83","5.19"
"6","Evan Chomow","Fairfield","Fr.","6-5","GK","15","1317:15","75","5.00"
"","Jacob English","Southern Ind.","Fr.","6-2","GK","16","1259:06","80","5.00"
"","Liam Keiller","Howard","So.","6-2","GK","11","990:00","55","5.00"
"","Johan Rodriguez Morales","Chicago St.","Sr.","6-0","GK","13","1105:10","65","5.00"
"","Andres Rosales","Sacramento St.","Sr.","6-6","GK","11","900:00","55","5.00"
"11","Drew Berry","Bradley","Sr.","6-2","GK","17","1530:00","84","4.94"
"12","Tom Macauley","George Washington","Jr.","6-2","GK","15","1330:18","74","4.93"
"13","Herman Seierstad Johnsen","Monmouth","Fr.","6-2","GK","10","900:00","49","4.90"
"14","Zack Murphy","VMI","Sr.","6-0","GK","17","1485:00","83","4.88"
"15","Emil Holmberg","ETSU","Fr.","-","GK","15","1358:33","73","4.87"
"","Jack Kilstrom","Winthrop","Jr.","6-5","GK","15","1277:15","73","4.87"
"17","Grant Wyles","Niagara","Jr.","6-1","GK","14","1260:00","67","4.79"
"18","Eric Widrick","Colgate","Sr.","6-1","GK","17","1530:00","81","4.76"
"19","Erik Jaspers","James Madison","So.","-","GK","12","1080:00","57","4.75"
"20","Alex Kara","Lipscomb","So.","6-4","GK","13","1170:00","61","4.69"
"21","Kyle Durham","UConn","So.","6-3","GK","21","1890:00","98","4.67"
"22","Ben Miller","Radford","So.","6-2","GK","17","1500:31","79","4.65"
"23","Nolan Premack","UC San Diego","Sr.","6-4","GK","11","936:00","51","4.64"
"24","Robert Eaton","Navy","Sr.","6-3","GK","16","1419:22","74","4.63"
"25","Micah Ramirez","Western Ill.","Sr.","6-0","GK","20","1773:28","92","4.60"
"26","Diego Garciarena","Saint Francis","Jr.","6-1","GK","14","1263:25","64","4.57"
"27","Diego Dauzier","Temple","So.","6-2","GK","9","810:00","41","4.56"
"28","Andrej Borak","Boston College","Fr.","6-5","GK","14","1260:00","63","4.50"
"","Alejandro DeLaTorre","UIW","Sr.","-","GK","18","1620:00","81","4.50"
"30","Valentin Kneis","La Salle","Sr.","6-3","GK","16","1440:00","70","4.38"
"31","Dorian Drucks","CSUN","Jr.","6-3","GK","17","1530:00","74","4.35"
"32","Jaume Salvado","George Mason","Sr.","6-0","GK","15","1350:00","65","4.33"
"33","Moritz Conrad","Saint Peter's","So.","6-3","GK","14","1215:00","60","4.29"
"34","Jonny Mennell","Xavier","Sr.","6-5","GK","11","988:28","47","4.27"
"","Alex Yagudayev","Villanova","So.","6-2","GK","11","990:00","47","4.27"
"36","Tobias Jahn","Northeastern","Sr.","6-2","GK","15","1350:00","64","4.27"
"37","Matheus Rhormens","Queens (NC)","So.","6-3","GK","17","1530:00","72","4.24"
"38","Oliver Weng","FGCU","So.","6-1","GK","13","1087:37","55","4.23"
"39","Sheraz Saadat","Boston U.","Sr.","6-6","GK","9","810:00","38","4.22"
"40","Devin Armstrong","NJIT","Sr.","6-2","GK","17","1530:00","71","4.18"
"41","Nic Diana","Milwaukee","Jr.","6-1","GK","18","1620:00","75","4.17"
"42","Conrad Lee","Yale","Sr.","6-4","GK","15","1336:32","62","4.13"
"43","Julian Marcos","Mount St. Mary's","Sr.","6-3","GK","17","1530:00","70","4.12"
"44","Max Hinke","Longwood","Sr.","6-1","GK","11","936:43","45","4.09"
"45","Alex Aitken","Houston Christian","Sr.","6-0","GK","19","1720:21","77","4.05"
"46","Alessandro Malterer","Wright St.","Sr.","5-10","GK","12","1080:00","48","4.00"
"","Michael Statham","Old Dominion","Sr.","6-4","GK","17","1550:00","68","4.00"
"","Cole Thompson","Oakland","So.","6-1","GK","12","1080:00","48","4.00"
"49","Jarrett Wuerslin","USC Upstate","So.","6-1","GK","18","1575:00","71","3.94"
"50","Chema Preciado","Gonzaga","Jr.","6-2","GK","16","1430:03","63","3.94"
"","Brody Smith","Air Force","So.","6-5","GK","16","1392:55","63","3.94"
"52","Joao Mesquita","Oral Roberts","Sr.","5-10","GK","10","855:00","39","3.90"
"53","Nelton Semedo","Merrimack","Sr.","6-0","GK","14","1260:00","54","3.86"
"54","Bennet Glinder","Siena","Jr.","6-2","GK","19","1693:55","73","3.84"
"55","Owen Beninga","UC Santa Barbara","Fr.","6-3","GK","12","1044:42","46","3.83"
"","Loan Marin","Georgia St.","Sr.","6-2","GK","18","1620:00","69","3.83"
"57","Drew Swancutt","Green Bay","Jr.","5-11","GK","11","1010:00","42","3.82"
"58","Hugo Do Rego","California Baptist","Jr.","6-0","GK","16","1442:30","61","3.81"
"59","Harrison Gough","Coastal Carolina","Jr.","6-1","GK","10","920:00","38","3.80"
"","Tomas Hut","Syracuse","Sr.","6-3","GK","20","1800:00","76","3.80"
"61","Charlie Lanphier","Seattle U","Sr.","6-5","GK","14","1260:00","53","3.79"
"62","Tristan Stephani","Fordham","Sr.","6-4","GK","13","1190:00","49","3.77"
"63","Sep Habibi","Purdue Fort Wayne","So.","6-2","GK","17","1518:44","64","3.76"
"64","Dominic Dominguez","Canisius","Sr.","5-11","GK","11","900:00","41","3.73"
"65","Cullen MacNeil","Harvard","Sr.","6-5","GK","10","900:00","37","3.70"
"66","Henry Hampshaw","Mercer","So.","6-1","GK","18","1603:45","66","3.67"
"67","Trey Smiley","UNCW","Jr.","6-4","GK","16","1430:44","58","3.63"
"68","Gavin Roberts","Lindenwood","Sr.","6-2","GK","13","1156:23","47","3.62"
"69","Michael Guiry","Army West Point","So.","6-5","GK","15","1273:08","54","3.60"
"","Andrew Marotta","LIU","So.","6-0","GK","10","900:00","36","3.60"
"71","Grant Calvert","Belmont","Sr.","6-2","GK","17","1516:16","61","3.59"
"","Josh Lane","Robert Morris","Jr.","6-2","GK","17","1522:07","61","3.59"
"","Jahiem Wickham","South Fla.","Sr.","6-4","GK","17","1530:29","61","3.59"
"74","Phillip Falcon III","Penn","Jr.","6-3","GK","12","1080:00","43","3.58"
"75","Blake Kelly","Notre Dame","So.","6-2","GK","20","1794:59","71","3.55"
"","Anton Kinnunen","Lehigh","So.","-","GK","20","1799:44","71","3.55"
"77","Aurie Briscoe","Butler","Sr.","6-1","GK","17","1530:00","60","3.53"
"78","Jonathan Evans","Penn St.","So.","6-0","GK","14","1260:00","49","3.50"
"","Daniel Ibarra","Grand Canyon","Sr.","6-1","GK","20","1775:00","70","3.50"
"","Matthew Pisani","Quinnipiac","Sr.","6-3","GK","10","855:00","35","3.50"
"","Cameron Simpson","Marquette","So.","6-2","GK","8","720:00","28","3.50"
"82","Noah Scheidweiler","SIUE","Fr.","6-3","GK","19","1632:57","66","3.47"
"83","Ciaran Dalton","Rutgers","Sr.","6-2","GK","17","1530:00","59","3.47"
"84","Max Trejo","Ohio St.","Sr.","6-2","GK","15","1350:00","52","3.47"
"85","Scott Williams","New Hampshire","Sr.","6-4","GK","13","1099:39","45","3.46"
"86","Tim Baerwalde","Presbyterian","Sr.","6-2","GK","20","1787:48","69","3.45"
"87","Heidar Hermannsson","Stony Brook","Fr.","6-3","GK","14","1244:11","48","3.43"
"","Jourdan Schumacher","Col. of Charleston","Sr.","6-2","GK","14","1260:00","48","3.43"
"89","Gavin Krenecki","Dayton","Sr.","5-11","GK","17","1550:00","58","3.41"
"90","Eric Axtman","Lafayette","Sr.","6-1","GK","21","1911:54","71","3.38"
"91","Sam Bentley","Saint Mary's (CA)","So.","6-3","GK","16","1419:24","54","3.38"
"","Nicolò Radaelli","Stetson","Sr.","6-2","GK","16","1401:16","54","3.38"
"","Nigel Van Haveren","FIU","Jr.","6-6","GK","16","1460:00","54","3.38"
"94","Zenden Hart","CSU Bakersfield","Sr.","6-1","GK","17","1530:00","57","3.35"
"95","Alex Geczy","Massachusetts","Sr.","-","GK","12","1080:00","40","3.33"
"","Dean Kelliher","Columbia","Sr.","6-2","GK","9","810:00","30","3.33"
"","Luciano Natoli","North Florida","Jr.","6-0","GK","18","1661:16","60","3.33"
"98","Alex Lindewirth","Western Mich.","Jr.","6-3","GK","19","1485:00","63","3.32"
"99","JoJo Elliott","Delaware","Fr.","6-3","GK","16","1440:00","53","3.31"
"","Matthew Hudson","Creighton","So.","6-1","GK","16","1440:00","53","3.31"
"","Matthew Tibbetts","American","Sr.","6-2","GK","16","1441:54","53","3.31"
"102","Konstantinos Dellas","Dartmouth","So.","6-5","GK","10","724:24","33","3.30"
"","Kamy Ndione","Omaha","Jr.","6-2","GK","10","900:00","33","3.30"
"104","Lucas Jones","San Francisco","Jr.","5-11","GK","14","1260:00","46","3.29"
"105","Noah Schwengeler","UC Davis","Sr.","6-5","GK","18","1496:10","59","3.28"
"106","Santiago Davila","DePaul","Sr.","6-2","GK","11","990:00","36","3.27"
"107","Alex Kron","Northern Ky.","So.","6-3","GK","15","1350:00","49","3.27"
"108","Lucas Ortiz","Eastern Ill.","Jr.","6-0","GK","9","810:00","29","3.22"
"109","Holden Brown","Indiana","Sr.","6-4","GK","14","1260:00","45","3.21"
"","Andrew Hermosillo","UC Riverside","Jr.","6-2","GK","14","1215:00","45","3.21"
"","Eddy Vargas","San Diego St.","Sr.","6-0","GK","14","1172:41","45","3.21"
"112","Laurin Mack","Maryland","So.","6-1","GK","19","1730:00","61","3.21"
"","Andrew Samuels","Princeton","Jr.","6-4","GK","19","1704:27","61","3.21"
"114","Hugo Lemos","UNLV","Jr.","-","GK","16","1440:00","51","3.19"
"115","Ryan Poling","Cleveland St.","Sr.","6-0","GK","18","1633:44","57","3.17"
"","Filip Sabatti","Memphis","Sr.","6-2","GK","12","1080:00","38","3.17"
"117","Ivan Horvat","Furman","So.","6-3","GK","21","1862:35","66","3.14"
"118","Jonah Mednard","Wake Forest","So.","6-2","GK","17","1438:02","53","3.12"
"","Alex Svetanoff","Louisville","Jr.","6-2","GK","17","1530:00","53","3.12"
"120","Henrik Weiper","Brown","Sr.","-","GK","9","740:40","28","3.11"
"121","Jackson Leavitt","Elon","Sr.","6-0","GK","19","1730:00","59","3.11"
"122","Josh Caron","High Point","Sr.","6-0","GK","20","1781:58","62","3.10"
"","Tom Mabon","UAB","So.","-","GK","10","900:00","31","3.10"
"124","Luca Campoli","Utah Tech","Fr.","6-1","GK","12","1054:49","37","3.08"
"","Emanuel Padilla","Cal St. Fullerton","Sr.","6-2","GK","12","942:01","37","3.08"
"126","Mateus Ruiz-Hurst","Pacific","Sr.","6-2","GK","13","1153:26","40","3.08"
"127","Fernando Alves Schmelz","Iona","So.","6-3","GK","15","1268:55","46","3.07"
"128","Peter Van Euwen","Bellarmine","Sr.","5-11","GK","17","1485:17","52","3.06"
"129","Jack Moxom","Pittsburgh","Jr.","6-3","GK","18","1620:00","55","3.06"
"130","Atahan Arslan","NIU","Jr.","6-2","GK","15","1316:15","45","3.00"
"","Kevin Box","UCLA","Sr.","-","GK","10","920:00","30","3.00"
"","Diego Chavez","Duquesne","Sr.","6-2","GK","15","1349:19","45","3.00"
"","Emigdio Lopez","UMBC","Sr.","5-11","GK","17","1550:00","51","3.00"
"","Jamie Lowell","Marist","Sr.","6-4","GK","16","1428:59","48","3.00"
"","Cameron Maung-Maung","IU Indy","Sr.","5-11","GK","15","1235:25","45","3.00"
"","Christian Sekanina","Jacksonville","Sr.","6-1","GK","14","1280:00","42","3.00"
"137","Tyler Beck","Liberty","So.","6-4","GK","20","1800:00","59","2.95"
"138","Sebastian Conlon","Kentucky","Sr.","6-2","GK","19","1743:50","56","2.95"
"139","Lucas Beltran","Davidson","Jr.","6-2","GK","18","1603:42","53","2.94"
"","Nate Martinez","Ga. Southern","Sr.","6-3","GK","18","1633:06","53","2.94"
"141","Luca Marinelli","Sacred Heart","Sr.","6-1","GK","16","1418:55","47","2.94"
"","Rafael Ponce De Leon","Northwestern","Sr.","6-3","GK","16","1439:47","47","2.94"
"","Leo Stritter","Charlotte","Sr.","6-2","GK","16","1453:31","47","2.94"
"144","Raphael Bartell","Drexel","Sr.","6-1","GK","10","885:41","29","2.90"
"145","Sam Joseph","Virginia Tech","Sr.","6-4","GK","16","1440:00","46","2.88"
"146","Owen Cornell","UIC","Sr.","6-0","GK","15","1350:00","43","2.87"
"147","Juanvi Muñoz","UCF","Sr.","6-0","GK","21","1903:06","60","2.86"
"148","Nicky McCune","Cal Poly","Sr.","6-2","GK","20","1788:19","57","2.85"
"","Michal Mroz","Evansville","So.","6-2","GK","20","1800:00","57","2.85"
"150","Felix Schöne","St. Bonaventure","Fr.","6-1","GK","13","1148:44","37","2.85"
Reclassifying
"NR","Wyatt Dupell","Le Moyne","Jr.","6-2","GK","17","1530:00","66","3.88"
"NR","Alessandro Bizzini","New Haven","Sr.","-","GK","14","1215:00","53","3.79"
"NR","Gonzalo Onrubia","Mercyhurst","Sr.","5-11","GK","13","1125:00","44","3.38"

NCAA Men's Soccer
Division IYellow Cards
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Yellow Cards"
"1","Gilberto Rivera","San Jose St.","Jr.","5-10","M","8"
"2","Eli Bannister","Mercer","Fr.","6-1","D","7"
"","Harry Elmore","Saint Francis","Fr.","5-10","M","7"
"","Dylan Groeneveld","Stanford","Jr.","6-1","M","7"
"","Adam Hillis","UC San Diego","Sr.","6-3","M","7"
"","Luke Hutzell","Furman","So.","5-10","M","7"
"","Christian Kyriacou","Mount St. Mary's","So.","5-11","D","7"
"","Zack Lillington","UC Davis","Sr.","6-4","M","7"
"","Cade Maglione","Lafayette","So.","5-9","M","7"
"","Marqes Muir","Kentucky","Jr.","6-1","D","7"
"","Jabari Rasheed","Northern Ky.","So.","6-0","D","7"
"","Jaime Roman","Iona","Jr.","5-8","M","7"
"","Marcos Soria","Purdue Fort Wayne","Sr.","5-9","D","7"
"","Alejandro Vigil","Central Conn. St.","Fr.","-","M","7"
"","Jamie Wynne","Old Dominion","Sr.","5-10","F","7"
"16","Mason Abdella","Utah Valley","So.","6-0","M","6"
"","Fernando Adrados Castro","Western Ill.","So.","-","D","6"
"","Joao Alves","Marshall","Fr.","-","-","6"
"","Cesar Batres","Saint Mary's (CA)","So.","5-10","M","6"
"","Elias Betancourt","Fordham","Jr.","5-9","M","6"
"","Itamar Biton","USC Upstate","Fr.","5-7","D","6"
"","Jamahl Brown","Queens (NC)","Sr.","5-9","F","6"
"","Pablo Calvete","Evansville","Jr.","6-2","M","6"
"","Jack Clarkson","UNCW","Sr.","6-1","M","6"
"","Cameron Cook","San Jose St.","So.","5-7","M","6"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","6"
"","Kelvin Da Costa","Syracuse","So.","5-10","M","6"
"","Evans Dapaah","Campbell","Jr.","5-10","M","6"
"","Sam Davis","Lehigh","Sr.","6-0","D","6"
"","Gabriel Duchovny","Princeton","Sr.","6-0","M","6"
"","Lukas Egarter","Temple","Jr.","5-9","M","6"
"","Alberto Esquivel","La Salle","So.","5-9","-","6"
"","Angel Fernandez","San Jose St.","Jr.","5-10","M","6"
"","Bennett Gerak","Northern Ky.","Jr.","6-0","M","6"
"","Thomas Gilej","Ohio St.","Sr.","6-3","D","6"
"","Benjamin Gooding","UNCW","Fr.","5-10","D","6"
"","Zack Harris","CSUN","Jr.","6-0","M","6"
"","Ryan Holmes","Marshall","Sr.","5-11","M","6"
"","Pavle Ivkovic","Milwaukee","Fr.","6-3","D","6"
"","Mamadi Jiana","Bryant","Sr.","6-0","F","6"
"","Aarush Kamath","UIW","Jr.","-","-","6"
"","Nathan Lagoa","Stonehill","Sr.","5-10","M","6"
"","Jake Lane","Old Dominion","Jr.","5-8","M","6"
"","Troy Matingou","Howard","Sr.","6-5","D","6"
"","Ben McGovern","George Washington","Fr.","6-0","M","6"
"","Nico Medina","George Washington","Jr.","5-7","M","6"
"","James Melnick","Lafayette","So.","6-0","MD","6"
"","Jack Meyer","Army West Point","Sr.","5-10","M","6"
"","Calle Mollerberg","UC Santa Barbara","Jr.","6-3","D","6"
"","Jeloni Murray-Powell","Green Bay","Sr.","5-11","M","6"
"","Ben Norris","San Francisco","Fr.","5-11","M","6"
"","Nik Orth","San Diego St.","Fr.","6-0","M","6"
"","Kirill Pakhomov","Marshall","Jr.","6-4","M","6"
"","Pharis Petrica","Boston U.","So.","5-9","M","6"
"","Jack Pymm","Stanford","Fr.","6-0","M","6"
"","Tommy Redd","Mercer","Sr.","6-0","MD","6"
"","Nick Relerford","Cal St. Fullerton","Sr.","5-9","D","6"
"","Diego Sanchez","Grand Canyon","Fr.","5-10","M","6"
"","Arber Shala","FGCU","Jr.","5-11","D","6"
"","Trey Sheeler","Lehigh","Jr.","6-3","D","6"
"","Nk Tima","FDU","Sr.","5-10","D","6"
"","Calem Tommy","NC State","Sr.","5-9","D","6"
"","Owen Travis","FIU","Sr.","6-3","D","6"
"","Ryan Wagner","Furman","So.","6-4","D","6"
"","Dylan Wojdyla","Seattle U","Fr.","5-9","D","6"
"","Milo Wray","James Madison","So.","5-7","M","6"
"67","Hasan Alsakati","Sacramento St.","Sr.","6-4","M","5"
"","Alejandro Arenas","Santa Clara","Fr.","6-3","D","5"
"","Damian Arguello","California Baptist","Sr.","5-8","FM","5"
"","Ethan Ballek","South Carolina","Sr.","6-0","M","5"
"","Freddie Bell","Penn St.","Jr.","5-11","M","5"
"","Dominic Berrios","Pacific","Fr.","5-10","F","5"
"","Harrison Bertos","Washington","Jr.","6-1","D","5"
"","Adrian Biaggi","UIC","Jr.","6-0","M","5"
"","Marcos Blasco Devesa","Vermont","Fr.","5-11","M","5"
"","Steven Boaghe Braniste","Northern Ky.","Jr.","5-11","D","5"
"","Elie Bokota","LMU (CA)","Sr.","6-0","M","5"
"","Miles Bonham","Dayton","Jr.","6-3","M","5"
"","Younes Boudinar","UCF","So.","6-2","M","5"
"","Tim Brdaric","Syracuse","Sr.","-","D","5"
"","Zephyn Brockert-Kress","Chicago St.","Sr.","5-8","D","5"
"","Austin Brummett","UConn","Sr.","6-0","F","5"
"","Henry Burt","USC Upstate","Fr.","6-0","M","5"
"","Pasquale Capriati","FIU","Jr.","6-4","F","5"
"","Stavros Charalampous","California Baptist","Jr.","5-8","M","5"
"","Mads Christensen","Bowling Green","Jr.","6-1","M","5"
"","Lucas Cobo","Manhattan","Fr.","6-1","D","5"
"","Steven Cordova","Presbyterian","Sr.","5-10","M","5"
"","Stetson Coy","Utah Tech","Fr.","6-2","F","5"
"","Fabrizio Cubeddu","Fla. Atlantic","Sr.","5-10","D","5"
"","Kevin Cull","Holy Cross","Jr.","6-0","M","5"
"","Alex Cunningham","Tulsa","So.","5-10","D","5"
"","Blake D'Agostino","California Baptist","So.","6-2","F","5"
"","Rocco DelGiudice","Merrimack","So.","-","-","5"
"","Diego Diaz","Santa Clara","Jr.","6-1","D","5"
"","Anthony Durling","Lafayette","So.","6-0","D","5"
"","James Eliuda","George Mason","Jr.","6-0","FM","5"
"","Pedro Faife","South Fla.","Jr.","5-10","M","5"
"","Josh Farrell","CSU Bakersfield","Sr.","6-0","D","5"
"","Francisco Ferreira","Quinnipiac","Jr.","5-10","M","5"
"","Bruno Fornes","Lindenwood","Sr.","6-0","D","5"
"","Josh Francombe","Lindenwood","Sr.","5-9","M","5"
"","Callum Frogson","North Carolina","Sr.","6-2","D","5"
"","Wes Gibson","SIUE","Sr.","6-1","D","5"
"","Lennon Gill","Col. of Charleston","So.","6-1","-","5"
"","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","5"
"","Josemir Gomez","Butler","Sr.","6-2","F","5"
"","Nil Grau","Utah Valley","Jr.","6-4","F","5"
"","Thomas Gray","Fordham","Sr.","6-4","D","5"
"","Osei Gyamfi","UNCW","So.","5-9","M","5"
"","Max Haberl","Drexel","Jr.","6-0","MD","5"
"","Ethan Hackenberg","SIUE","Sr.","5-9","M","5"
"","Sigurdur Hakon Halldorsson","Queens (NC)","Fr.","-","F","5"
"","Carson Hammond","UC Davis","So.","6-0","D","5"
"","Maurice Hauser","Stetson","Jr.","-","F","5"
"","Jacob Heisner","Pacific","Sr.","6-1","D","5"
"","Kiel Higginson","Butler","Fr.","-","D","5"
"","Hilmar Hilmarsson","USC Upstate","Fr.","6-8","D","5"
"","Harry Hogben","Missouri St.","Fr.","6-2","D","5"
"","Kenan Hot","Duke","Sr.","5-11","M","5"
"","Italo Jenkins","Omaha","Jr.","6-1","F","5"
"","Levi Jones","Lipscomb","Jr.","5-5","M","5"
"","Tolu Joseph","Manhattan","Jr.","6-2","M","5"
"","Roman Kedgley","Wright St.","Sr.","5-9","D","5"
"","Yigit Kilic","UMBC","Jr.","6-3","D","5"
"","Lewis Knecht","Utah Valley","Fr.","5-11","F","5"
"","Noah Kummrow","IU Indy","Jr.","5-11","D","5"
"","Manuel Lolas","James Madison","So.","5-9","M","5"
"","Nikola Markovic","NC State","So.","6-4","D","5"
"","Oliver Martin","Michigan","Sr.","5-9","F","5"
"","Nacho Martinez","West Virginia","Fr.","5-9","M","5"
"","Santiago Maynez","Houston Christian","Fr.","5-10","D","5"
"","Carter McClain","Radford","So.","5-9","D","5"
"","Grant McIntosh","Duquesne","Sr.","6-0","D","5"
"","Carlos Merce","Northern Ky.","Fr.","5-9","FM","5"
"","Miles Merritt","Michigan St.","Jr.","5-10","M","5"
"","Owen Mikoy","Kentucky","Sr.","6-5","D","5"
"","Riley Moloney","NC State","Fr.","-","D","5"
"","Robbie Mora","Gonzaga","Sr.","6-0","M","5"
"","Andrey Mora Bravo","Iona","Fr.","6-1","M","5"
"","Ivan Morcillo","Sacred Heart","So.","5-11","F","5"
"","Javan Ochieng","Gardner-Webb","Fr.","-","F","5"
"","Marcos Ojea Quintana","Harvard","Sr.","6-2","M","5"
"","Chimere Omeze","Syracuse","So.","6-1","D","5"
"","Rio Onwumere","Binghamton","Sr.","5-10","D","5"
"","Enzo Panozzo","SMU","Sr.","6-1","D","5"
"","Godwin Partey","St. John's (NY)","Sr.","5-11","M","5"
"","Kobe Perlaza","Saint Joseph's","Sr.","6-1","D","5"
"","Joao Pinto","Quinnipiac","Sr.","6-3","D","5"
"","Gio Polizzi","Rider","Jr.","5-10","F","5"
"","Isaac Powell","UC Irvine","Sr.","5-9","M","5"
"","Nico Quanbeck","Davidson","Jr.","6-1","M","5"
"","Pablo Ramirez","ETSU","Sr.","-","D","5"
"","Agustin Resch","Seton Hall","Sr.","6-6","D","5"
"","Naim Robinson","Howard","Fr.","5-9","M","5"
"","Nic Robinson","LIU","Jr.","6-2","M","5"
"","Joaquin Rodriguez Ortiz","Loyola Chicago","Fr.","6-2","MD","5"
"","Juan Romero","Western Mich.","Sr.","5-11","M","5"
"","Bruno Rosa","Providence","Sr.","6-2","F","5"
"","Herman Rugland","Merrimack","Jr.","5-10","M","5"
"","Matthew Sacristan","Cal St. Fullerton","Jr.","6-2","M","5"
"","William Salivonchik","Marist","Fr.","5-9","D","5"
"","Christer Salvesen","Longwood","Fr.","6-4","M","5"
"","Felipe Santos","Fla. Atlantic","So.","6-1","M","5"
"","Merrick Schaefer","St. Thomas (MN)","So.","5-9","MD","5"
"","Luciano Schiaffini","Mount St. Mary's","So.","5-7","M","5"
"","John Shannon","Drexel","Fr.","5-7","M","5"
"","Olly Spicer","Dartmouth","Fr.","5-8","M","5"
"","Olafur Floki Stephensen","Clemson","So.","6-4","D","5"
"","Gabriel Stevanato","Marshall","Fr.","-","F","5"
"","Mikey Stukenholtz","Omaha","So.","5-8","F","5"
"","Caio Tascheto","Bowling Green","Sr.","5-11","D","5"
"","Trace Terry","Bowling Green","Sr.","6-2","F","5"
"","Matthew Thissell","Davidson","Jr.","5-10","FM","5"
"","Hazani Torres","UIW","So.","-","-","5"
"","Jeremie Truel","Niagara","Jr.","5-6","M","5"
"","Wylie Trujillo","Portland","Sr.","5-9","F","5"
"","Darrell Turcios","UIC","Jr.","5-9","M","5"
"","Marco Valencia","Purdue Fort Wayne","Sr.","5-10","F","5"
"","Chris Verheul","Marist","So.","6-0","FM","5"
"","Dylan Viebrantz-Zavatini","FGCU","Sr.","-","D","5"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","5"
"","Phoenix Wooten","Harvard","So.","6-0","M","5"
"","Morgan Worsfold-Gregg","Drexel","So.","5-10","M","5"
"","Daniel Zepeda","UIC","Fr.","5-8","D","5"
"186","Keke Abai","Boston U.","Jr.","5-10","F","4"
"","Adam Abdelaal","Merrimack","So.","6-0","F","4"
"","Jeremi Abonnel","Saint Louis","Sr.","6-0","GK","4"
"","Jared Aguilar","Tulsa","Jr.","5-9","M","4"
"","Remi Agunbiade","Akron","So.","6-1","F","4"
"","Tomo Allen","Stanford","Fr.","6-3","F","4"
"","Jon Almudi","Coastal Carolina","Fr.","5-11","M","4"
"","Braian Amaro","Marshall","Jr.","6-1","D","4"
"","Marcus Andersen","Kentucky","Fr.","5-9","M","4"
"","Jakob Andersson","Wofford","Sr.","5-11","D","4"
"","James Andrew","Pacific","So.","6-1","F","4"
"","Nico Angulo","NIU","Fr.","5-5","F","4"
"","Ross Appolon","Stetson","Jr.","-","D","4"
"","Pedro Arcoverde","FGCU","Sr.","6-0","D","4"
"","Peleg Armendariz","Cleveland St.","Jr.","5-8","M","4"
"","Braxton Arpachinda","Western Mich.","Jr.","5-6","D","4"
"","Jaime Barbero","FDU","Sr.","5-9","F","4"
"","Tiago Barriguinha","Rhode Island","Jr.","6-1","M","4"
"","Lucas Barsoee","FGCU","So.","6-1","M","4"
"","Dom Bartoni","SIUE","Fr.","6-2","F","4"
"","Sean Battistessa","Sacramento St.","So.","6-3","F","4"
"","Christian Baumgartner","DePaul","Jr.","5-10","D","4"
"","Brayden Beason","San Francisco","So.","6-2","F","4"
"","Lotem Ben Dov","Campbell","Sr.","6-3","M","4"
"","Liam Biggers","Western Mich.","Fr.","6-2","M","4"
"","Antonio Bittencourt","Oral Roberts","Sr.","6-1","D","4"
"","Ulfur Bjornsson","Duke","Jr.","6-3","F","4"
"","Gleb Bogdanov","Villanova","Fr.","5-10","M","4"
"","Jack Boring","Louisville","So.","6-1","D","4"
"","Julian Borja","Cal St. Fullerton","So.","5-11","D","4"
"","Gabriele Bosio","Merrimack","So.","-","-","4"
"","Gavin Bravado","Central Conn. St.","Jr.","-","M","4"
"","Nicola Brocca","ETSU","Jr.","-","D","4"
"","Charles-Emile Brunet","SMU","So.","5-8","M","4"
"","Andrei Bulankou","Air Force","So.","6-2","D","4"
"","Bryce Burdette","Presbyterian","Jr.","6-3","D","4"
"","Brian Burkett","Wright St.","So.","5-5","M","4"
"","Sean Cadigan","Monmouth","Sr.","6-0","M","4"
"","Caio Carrara","NJIT","Sr.","6-2","M","4"
"","Edward Castro","UC Riverside","Sr.","5-9","F","4"
"","Oliver Church","Southern Ind.","Fr.","5-10","M","4"
"","Paul Claes Nielsen","Belmont","Fr.","6-2","M","4"
"","Joshua Cline","Northern Ky.","So.","6-2","D","4"
"","Felipe Cobian","Grand Canyon","Jr.","5-9","D","4"
"","Cesar Cordova","California","Jr.","5-7","F","4"
"","Breno Correia","Gardner-Webb","Jr.","-","D","4"
"","Gabe Cox","Furman","So.","5-10","MD","4"
"","Jacob Cromedy","USC Upstate","Fr.","5-8","D","4"
"","Jacobo Cruz","UIC","Jr.","6-1","D","4"
"","Xavi Csato","Rider","Sr.","5-9","F","4"
"","Skyler Cunha","Marist","Sr.","5-10","M","4"
"","Hagan Cupido","CSUN","Jr.","5-10","F","4"
"","Nick Dang","Virginia","Sr.","6-2","D","4"
"","Archie Day","Merrimack","Jr.","-","D","4"
"","Jesus De Vicente","Virginia","Sr.","5-11","D","4"
"","Hubert Deragon","Saint Mary's (CA)","Sr.","6-0","D","4"
