 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Luka Lukic","California","Sr.","6-3","F","18","8","2","18","1.00"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","6","6","18","1.00"
"","Zach Ramsey","Washington","So.","5-10","M","24","8","8","24","1.00"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","7","4","18","1.00"
"","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","7","2","16","1.00"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","6","5","17","1.00"
"110","Alessandro Arlotti","Duke","Sr.","6-0","F","20","7","5","19","0.95"
"","Diego Rosas","Portland","Jr.","-","F","20","2","15","19","0.95"
"112","Martin Kozak","Elon","Jr.","5-11","M","19","5","8","18","0.95"
"","Joby Reid","Houston Christian","Fr.","6-0","F","19","6","6","18","0.95"
"114","Steven Ramirez","San Diego","Jr.","5-11","F","18","8","1","17","0.94"
"","Drew Roskos","Bucknell","So.","5-8","F","18","8","1","17","0.94"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","7","3","17","0.94"
"117","Junior Casillas","Mercer","Sr.","6-0","M","17","6","4","16","0.94"
"","Matt Cence","Massachusetts","Sr.","-","M","17","5","6","16","0.94"
"","Mitch Coughlon","Bradley","Jr.","6-2","F","17","7","2","16","0.94"
"","Samir-Mohamed Djeha","Georgia St.","So.","6-1","F","17","6","4","16","0.94"
"","Brady Geho","UMBC","So.","6-3","F","17","7","2","16","0.94"
"","Anass Hadran","Robert Morris","Sr.","5-7","M","17","6","4","16","0.94"
"","Aboubacar Traore","Fla. Atlantic","Jr.","5-9","M","17","4","8","16","0.94"
"","Misei Yoshizawa","Clemson","Sr.","5-8","M","17","6","4","16","0.94"
"125","Brayden Beason","San Francisco","So.","6-2","F","16","7","1","15","0.94"
"","Troy Elgersma","American","Sr.","6-3","M","16","7","1","15","0.94"
"","Archie Hatcher","Holy Cross","Fr.","5-11","F","16","6","3","15","0.94"
"","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","7","1","15","0.94"
"","Mikkel Lejbowicz","Seton Hall","So.","6-2","F","16","7","1","15","0.94"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","5","5","15","0.94"
"131","Isaac Emojong","Utah Valley","So.","6-2","FM","15","6","2","14","0.93"
"","Maximilian Kissel","Vermont","Sr.","6-0","F","15","5","4","14","0.93"
"133","David Davila","Southern Ind.","So.","6-3","F","14","6","1","13","0.93"
"","Gijs Verheul","Marist","So.","6-4","D","14","6","1","13","0.93"
"135","Richie Aman","Washington","Sr.","5-9","M","24","4","14","22","0.92"
"136","Luca Bartoni","Lindenwood","Sr.","6-1","F","21","7","5","19","0.90"
"137","Brendan Krueger","High Point","Sr.","5-11","M","20","5","8","18","0.90"
"","Zach Lifferth","Liberty","Sr.","6-0","F","20","8","2","18","0.90"
"","Ethan Roberts","Campbell","Sr.","6-1","F","20","8","2","18","0.90"
"140","Myles Culley","Davidson","Jr.","6-0","FM","19","7","3","17","0.89"
"141","Alvaro Maneiro","Iona","So.","5-10","M","18","7","2","16","0.89"
"","Albi Ndrenika","Maryland","Sr.","5-10","M","18","4","8","16","0.89"
"","Vitalis Takawira Jr","USC Upstate","Sr.","5-8","F","18","3","10","16","0.89"
"144","Brock Kiper","Belmont","Jr.","6-5","F","17","6","3","15","0.88"
"","Robbie Lyons","Gardner-Webb","Sr.","-","M","17","5","5","15","0.88"
"","Ivan Morcillo","Sacred Heart","So.","5-11","F","17","7","1","15","0.88"
"","Brandon Nyagurungo","South Fla.","Sr.","6-0","F","17","6","3","15","0.88"
"","Jack Stainrod","LIU","Sr.","6-2","F","17","3","9","15","0.88"
"","Niklas Thanhofer","LIU","Sr.","6-1","D","17","7","1","15","0.88"
"150","Kenshin Akimoto","Radford","Jr.","5-10","F","16","6","2","14","0.88"
"","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","16","6","2","14","0.88"
"","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","5","4","14","0.88"
"","Declan Quill","Virginia Tech","Sr.","6-2","F","16","5","4","14","0.88"
"","Reon Tezuka","Niagara","Jr.","-","F","16","6","2","14","0.88"

NCAA Men's Soccer
Division IShutouts
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Shutouts"
"1","Mitch Budler","Akron","Sr.","6-4","GK","21","13"
"2","Logan Erb","NC State","Sr.","6-3","GK","23","12"
"","Jackson Leavitt","Elon","Sr.","6-0","GK","19","12"
"","Andrew Samuels","Princeton","Jr.","6-4","GK","19","12"
"5","Jeremi Abonnel","Saint Louis","Sr.","6-0","GK","24","11"
"6","Ryan Friedberg","Cornell","Sr.","6-5","GK","20","10"
"","Niklas Herceg","Vermont","So.","6-6","GK","20","10"
"","Alan Horrocks","Gardner-Webb","Sr.","-","GK","18","10"
"9","Alex Aitken","Houston Christian","Sr.","6-0","GK","19","9"
"","Josh Caron","High Point","Sr.","6-0","GK","20","9"
"","Enzo Carvalho","Bryant","Sr.","6-5","GK","18","9"
"","JoJo Elliott","Delaware","Fr.","6-3","GK","16","9"
"","Isaiah Goldson","Michigan","Jr.","6-0","GK","20","9"
"","Miguel-Angel Hernandez","Portland","Jr.","6-0","GK","19","9"
"","Tomas Hut","Syracuse","Sr.","6-3","GK","20","9"
"","Gavin Krenecki","Dayton","Sr.","5-11","GK","17","9"
"","Laurin Mack","Maryland","So.","6-1","GK","19","9"
"","Nicky McCune","Cal Poly","Sr.","6-2","GK","20","9"
"","Luciano Natoli","North Florida","Jr.","6-0","GK","18","9"
"","Eric Widrick","Colgate","Sr.","6-1","GK","17","9"
"21","Lucca Adams","San Diego","So.","6-1","GK","14","8"
"","Eric Axtman","Lafayette","Sr.","6-1","GK","21","8"
"","Marc Bonnaire","West Virginia","Sr.","6-3","GK","21","8"
"","Sebastian Conlon","Kentucky","Sr.","6-2","GK","19","8"
"","Andrew Cordes","North Carolina","Sr.","6-2","GK","20","8"
"","Dorian Drucks","CSUN","Jr.","6-3","GK","17","8"
"","Kyle Durham","UConn","So.","6-3","GK","21","8"
"","Eryk Dymora","Duke","Sr.","6-3","GK","19","8"
"","Edgar Guerra","San Jose St.","Sr.","6-3","GK","18","8"
"","Ivan Horvat","Furman","So.","6-3","GK","21","8"
"","Nate Martinez","Ga. Southern","Sr.","6-3","GK","18","8"
"","Matias Molina","Seton Hall","Sr.","5-10","GK","19","8"
"","Joe O'Shaughnessy","UC Irvine","So.","6-7","GK","21","8"
"","Marc Popow","Kansas City","Fr.","6-1","GK","20","8"
"35","Owen Beninga","UC Santa Barbara","Fr.","6-3","GK","12","7"
"","Tomas Butkovic","Drake","So.","6-0","GK","17","7"
"","Phillip Falcon III","Penn","Jr.","6-3","GK","12","7"
"","Michael Guiry","Army West Point","So.","6-5","GK","15","7"
"","Matthew Hudson","Creighton","So.","6-1","GK","16","7"
"","Daniel Ibarra","Grand Canyon","Sr.","6-1","GK","20","7"
"","Lucas Jones","San Francisco","Jr.","5-11","GK","14","7"
"","Sam Joseph","Virginia Tech","Sr.","6-4","GK","16","7"
"","Tenzing Manske","Georgetown","Sr.","6-1","GK","21","7"
"","Casper Mols","Virginia","Sr.","6-4","GK","17","7"
"","Jackson Ozburn","Santa Clara","Sr.","6-3","GK","17","7"
"","Carlito Saylon","Tulsa","So.","6-0","GK","18","7"
"","Rowan Schnebly","Stanford","Jr.","6-1","GK","20","7"
"","Tristan Stephani","Fordham","Sr.","6-4","GK","13","7"
"","Alex Svetanoff","Louisville","Jr.","6-2","GK","17","7"
"","Seth Wilson","UNC Greensboro","Jr.","6-5","GK","23","7"

NCAA Men's Soccer
Division IPenalty Kicks
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","PS","psatt","Pct."
"1","Quinten Blair","Saint Louis","Sr.","6-0","D","24","5","5","1.000"
"","Blake D'Agostino","California Baptist","So.","6-2","F","16","5","5","1.000"
"","Cooper Forcellini","Xavier","Sr.","6-1","M","15","5","5","1.000"
