Team,Games,Wins,Losses,Ties,WinPct,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GoalDiff,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,Corners,CornersPerGame,PKGoals,PKAttempts,PKPct,TotalFouls,FoulsPerGame,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,TeamMinutes,GoalsAgainst,GAA,Shutouts,ShutoutPct
Eastern Ill.,17,4,9,4,0.353,16,0.94,12,0.71,44,2.59,-10,218,12.82,95,5.59,0.436,68,4.00,2,3,0.667,218,12.82,30,3,80,4.71,0.755,1530:00,26,1.529,2,0.118
William & Mary,16,2,10,4,0.250,12,0.75,16,1.00,40,2.50,-29,155,9.69,75,4.69,0.484,64,4.00,1,1,1.000,165,10.31,29,0,78,4.88,0.655,1440:00,41,2.563,3,0.188
Holy Cross,18,4,8,6,0.389,19,1.06,23,1.28,61,3.39,-4,212,11.78,77,4.28,0.363,72,4.00,1,1,1.000,188,10.44,27,0,57,3.17,0.713,1620:00,23,1.278,3,0.167
Omaha,16,3,9,4,0.313,17,1.06,19,1.19,53,3.31,-17,141,8.81,60,3.75,0.426,64,4.00,3,3,1.000,198,12.38,36,0,55,3.44,0.618,1440:00,34,2.125,2,0.125
San Diego,19,13,3,3,0.763,36,1.89,39,2.05,111,5.84,20,270,14.21,99,5.21,0.367,75,3.95,4,4,1.000,221,11.63,28,2,33,1.74,0.673,1710:00,16,0.842,9,0.474
Mercer,18,5,9,4,0.389,21,1.17,28,1.56,70,3.89,-7,189,10.50,69,3.83,0.365,71,3.94,0,1,0.000,232,12.89,38,1,66,3.67,0.702,1620:00,28,1.556,3,0.167
Stonehill,18,5,10,3,0.361,16,0.89,11,0.61,43,2.39,-20,244,13.56,114,6.33,0.467,71,3.94,1,1,1.000,206,11.44,36,1,62,3.44,0.633,1620:00,36,2.000,4,0.222
Binghamton,17,4,13,0,0.235,12,0.71,11,0.65,35,2.06,-21,133,7.82,43,2.53,0.323,67,3.94,1,1,1.000,180,10.59,36,2,67,3.94,0.670,1530:00,33,1.941,1,0.059
Gonzaga,16,5,8,3,0.406,20,1.25,18,1.13,58,3.63,-7,159,9.94,69,4.31,0.434,62,3.88,2,2,1.000,174,10.88,27,3,65,4.06,0.707,1440:00,27,1.688,5,0.313
Evansville,20,7,5,8,0.550,28,1.40,23,1.15,79,3.95,9,241,12.05,102,5.10,0.423,77,3.85,5,6,0.833,259,12.95,46,1,57,2.85,0.750,1800:00,19,0.950,6,0.300
Saint Francis,18,8,9,1,0.472,24,1.33,23,1.28,71,3.94,-6,154,8.56,79,4.39,0.513,69,3.83,2,3,0.667,194,10.78,40,1,82,4.56,0.732,1623:25,30,1.663,5,0.278
Mount St. Mary's,17,3,9,5,0.324,15,0.88,8,0.47,38,2.24,-14,176,10.35,74,4.35,0.420,65,3.82,5,5,1.000,167,9.82,41,0,76,4.47,0.724,1530:00,29,1.706,3,0.176
Bowling Green,17,5,8,4,0.412,16,0.94,17,1.00,49,2.88,-9,175,10.29,70,4.12,0.400,65,3.82,3,3,1.000,216,12.71,30,4,85,5.00,0.773,1530:00,25,1.471,3,0.176
Columbia,15,3,8,4,0.333,18,1.20,20,1.33,56,3.73,-1,183,12.20,60,4.00,0.328,57,3.80,1,1,1.000,140,9.33,12,1,57,3.80,0.750,1350:00,19,1.267,2,0.133
American,18,8,8,2,0.500,23,1.28,25,1.39,71,3.94,2,157,8.72,69,3.83,0.439,68,3.78,3,4,0.750,152,8.44,23,3,61,3.39,0.744,1621:54,21,1.165,4,0.222
Saint Joseph's,18,6,7,5,0.472,21,1.17,18,1.00,60,3.33,-2,188,10.44,75,4.17,0.399,68,3.78,4,6,0.667,249,13.83,31,0,54,3.00,0.701,1640:00,23,1.262,5,0.278
UC Irvine,21,11,4,6,0.667,29,1.38,28,1.33,86,4.10,11,250,11.90,90,4.29,0.360,79,3.76,5,5,1.000,237,11.29,25,1,45,2.14,0.714,1890:00,18,0.857,9,0.429
ETSU,15,2,9,4,0.267,18,1.20,14,0.93,50,3.33,-9,146,9.73,67,4.47,0.459,56,3.73,0,1,0.000,177,11.80,31,3,73,4.87,0.730,1363:01,27,1.783,1,0.067
Rider,17,2,11,4,0.235,17,1.00,17,1.00,51,3.00,-16,173,10.18,72,4.24,0.416,63,3.71,0,1,0.000,211,12.41,30,1,81,4.76,0.711,1530:00,33,1.941,2,0.118
