 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","Boston College","2","7-9-1"
"","CSU Bakersfield","2","3-11-3"
"","Sacramento St.","2","2-12-4"
"","Clemson","2","8-6-3"
"","Dartmouth","2","3-8-3"
"","Davidson","2","9-7-3"
"","Dayton","2","8-2-8"
"","Duke","2","10-4-6"
"","Fla. Atlantic","2","12-4-2"
"","George Mason","2","7-6-3"
"","Georgetown","2","14-4-4"
"","Ga. Southern","2","13-4-1"
"","Harvard","2","6-6-5"
"","Hofstra","2","14-5-1"
"","Jacksonville","2","6-7-5"
"","James Madison","2","1-10-5"
"","Kentucky","2","10-4-5"
"","Lehigh","2","9-5-6"
"","Loyola Maryland","2","3-10-3"
"","LMU (CA)","2","5-6-7"
"","Loyola Chicago","2","4-5-7"
"","Marquette","2","7-7-2"
"","Massachusetts","2","6-5-6"
"","Monmouth","2","5-8-3"
"","NJIT","2","3-9-5"
"","NIU","2","8-5-4"
"","Northwestern","2","8-6-3"
"","Penn St.","2","5-8-4"
"","Pittsburgh","2","6-7-5"
"","Sacred Heart","2","9-4-5"
"","St. Bonaventure","2","3-9-3"
"","Saint Peter's","2","4-10-2"
"","San Diego","2","13-3-3"
"","Santa Clara","2","6-5-7"
"","Seton Hall","2","7-4-8"
"","SMU","2","11-5-4"
"","Stetson","2","6-8-3"
"","VMI","2","3-12-3"
"","Washington","2","16-6-2"
"","Western Ill.","2","5-11-4"
"","Wright St.","2","2-13-1"
"","Seattle U","2","4-7-6"
"","North Florida","2","12-5-2"
"","UIW","2","5-7-6"
"","Binghamton","2","4-13"
"94","Memphis","1","4-8-3"
"","Mercer","1","5-9-4"
"","UAB","1","6-7-2"
"","Boston U.","1","10-8"
"","Bradley","1","2-9-6"
"","Brown","1","6-7-2"
"","Bryant","1","17-2-3"
"","Butler","1","5-10-2"
"","UC Irvine","1","11-4-6"
"","UC Riverside","1","4-9-4"
"","Canisius","1","5-10-1"
"","Central Conn. St.","1","1-14-2"
"","Cleveland St.","1","9-4-6"
"","Colgate","1","5-7-5"
"","Columbia","1","3-8-4"
"","DePaul","1","2-8-7"
"","Delaware","1","12-2-3"
"","Denver","1","12-7-3"
"","Drake","1","8-2-7"
"","Drexel","1","4-6-6"
"","Duquesne","1","8-6-2"
"","Evansville","1","7-5-8"
"","FDU","1","13-5-3"
"","Furman","1","16-2-5"
"","Georgia St.","1","4-8-6"
"","Howard","1","5-11-2"
"","UIC","1","10-3-5"
"","Iona","1","9-4-5"
"","Liberty","1","9-5-6"
"","LIU","1","8-3-7"
"","Longwood","1","3-8-5"
"","UMass Lowell","1","7-7-4"
"","Marist","1","8-4-4"
"","Maryland","1","13-2-4"
"","North Carolina","1","9-5-6"
"","UNC Greensboro","1","12-5-6"
"","UNCW","1","5-9-2"
"","Oakland","1","3-9-6"
"","Ohio St.","1","6-10"
"","Oral Roberts","1","4-10-3"
"","Portland","1","14-2-4"
"","Princeton","1","15-2-2"
"","Rhode Island","1","4-8-5"
"","Rider","1","2-11-4"
"","Saint Francis","1","8-9-1"
"","St. Thomas (MN)","1","7-5-5"
"","Southern Ind.","1","2-10-5"
"","Missouri St.","1","6-6-4"
"","Stonehill","1","5-10-3"
"","Stony Brook","1","9-5-5"
"","Syracuse","1","9-8-3"
"","Tulsa","1","5-9-4"
"","Air Force","1","1-13-3"
"","Villanova","1","7-6-5"
"","Virginia","1","12-2-5"
"","Wake Forest","1","7-4-6"
"","West Virginia","1","13-5-3"
"","Western Mich.","1","8-10-4"
"","Green Bay","1","9-7-2"
"","Wisconsin","1","8-8"
"","Milwaukee","1","4-7-8"
"","Gardner-Webb","1","13-3-2"
"","Grand Canyon","1","14-4-5"
"","Presbyterian","1","7-8-5"
"","Kansas City","1","12-4-5"
"","Wofford","1","6-11-2"
"","Lipscomb","1","2-9-6"
"","FGCU","1","6-7-3"
"","California Baptist","1","10-4-3"
"","Lindenwood","1","14-3-4"
Reclassifying
"NR","Mercyhurst","3","3-10-4"
"NR","Le Moyne","3","5-10-2"

NCAA Men's Soccer
Division IYellow Cards
Through Games 12/15/2025


"Rank","Name","Yellow Cards","W-L"
"1","Marshall","57","12-4-5"
"2","USC Upstate","51","5-11-3"
"","CSUN","51","6-6-6"
"4","Michigan","49","12-4-4"
"5","Gardner-Webb","48","13-3-2"
"","Old Dominion","48","5-5-8"
"","Grand Canyon","48","14-4-5"
"","Pacific","48","4-14"
"","Northern Ky.","48","4-10-3"
"","UC Santa Barbara","48","7-5-8"
"11","San Diego St.","47","7-9-2"
"12","FIU","46","7-9-3"
"","Evansville","46","7-5-8"
"","Merrimack","46","4-9-3"
"","Furman","46","16-2-5"
"","San Jose St.","46","12-4-4"
"17","Davidson","45","9-7-3"
"","Santa Clara","45","6-5-7"
"","Lafayette","45","8-7-7"
"20","Virginia","44","12-2-5"
"","UIW","44","5-7-6"
"","Lindenwood","44","14-3-4"
"","SIUE","44","6-11-2"
"","Fordham","44","8-6-4"
"25","Cal St. Fullerton","43","8-6-6"
"","Rhode Island","43","4-8-5"
"","UConn","43","12-5-4"
"","Kentucky","43","10-4-5"
"","La Salle","43","4-5-8"
"30","NC State","42","16-3-4"
"","NJIT","42","3-9-5"
"","James Madison","42","1-10-5"
"","Campbell","42","10-6-4"
"","California Baptist","42","10-4-3"
"","FGCU","42","6-7-3"
"36","George Mason","41","7-6-3"
"","Washington","41","16-6-2"
"","Queens (NC)","41","5-6-6"
"","Mount St. Mary's","41","3-9-5"
"40","LMU (CA)","40","5-6-7"
"","Southern Ind.","40","2-10-5"
"","UNCW","40","5-9-2"
"","Elon","40","9-3-7"
"","FDU","40","13-5-3"
"","Saint Francis","40","8-9-1"
"46","West Virginia","39","13-5-3"
"","Sacred Heart","39","9-4-5"
"","DePaul","39","2-8-7"
"","Marist","39","8-4-4"
"","Purdue Fort Wayne","39","8-3-6"
