 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","Vermont","20","14-1-5","10","0.500"
"","Duke","20","10-4-6","10","0.500"
"20","Maryland","19","13-2-4","9","0.474"
"","San Diego","19","13-3-3","9","0.474"
"","Houston Christian","19","11-5-3","9","0.474"
"","North Florida","19","12-5-2","9","0.474"
"24","San Francisco","17","10-6-1","8","0.471"
"","Drake","17","8-2-7","8","0.471"
"26","Saint Louis","24","13-3-8","11","0.458"
"27","Syracuse","20","9-8-3","9","0.450"
"","Michigan","20","12-4-4","9","0.450"
"","UC Santa Barbara","20","7-5-8","9","0.450"
"30","Bucknell","18","9-4-5","8","0.444"
"","Fla. Atlantic","18","12-4-2","8","0.444"
"","Army West Point","18","7-6-5","8","0.444"
"","Ga. Southern","18","13-4-1","8","0.444"
"","LIU","18","8-3-7","8","0.444"
"","Fordham","18","8-6-4","8","0.444"
"36","Creighton","16","8-4-4","7","0.438"
"","Virginia Tech","16","7-4-5","7","0.438"
"","Charlotte","16","8-4-4","7","0.438"
"39","Furman","23","16-2-5","10","0.435"
"40","Kansas City","21","12-4-5","9","0.429"
"","UC Irvine","21","11-4-6","9","0.429"
"42","Virginia","19","12-2-5","8","0.421"
"","Seton Hall","19","7-4-8","8","0.421"
"","UCLA","19","8-6-5","8","0.421"
"","Kentucky","19","10-4-5","8","0.421"
"46","Louisville","17","5-7-5","7","0.412"
"","Purdue Fort Wayne","17","8-3-6","7","0.412"
"48","Lafayette","22","8-7-7","9","0.409"
"49","San Jose St.","20","12-4-4","8","0.400"
"","Utah Valley","15","8-4-3","6","0.400"
"","North Carolina","20","9-5-6","8","0.400"
"52","Tulsa","18","5-9-4","7","0.389"
"","Villanova","18","7-6-5","7","0.389"
"","Green Bay","18","9-7-2","7","0.389"
"","Santa Clara","18","6-5-7","7","0.389"
"56","West Virginia","21","13-5-3","8","0.381"
"","FDU","21","13-5-3","8","0.381"
"","UConn","21","12-5-4","8","0.381"
"59","Duquesne","16","8-6-2","6","0.375"
"","Wisconsin","16","8-8","6","0.375"
"","Washington","24","16-6-2","9","0.375"
"62","Stony Brook","19","9-5-5","7","0.368"
"","Davidson","19","9-7-3","7","0.368"
"64","Queens (NC)","17","5-6-6","6","0.353"
"","Wake Forest","17","7-4-6","6","0.353"
"","Boston College","17","7-9-1","6","0.353"
"","Robert Morris","17","6-4-7","6","0.353"
"","Belmont","17","8-3-6","6","0.353"
"69","Stanford","20","14-4-2","7","0.350"
"","Hofstra","20","14-5-1","7","0.350"
"","Campbell","20","10-6-4","7","0.350"
"","SMU","20","11-5-4","7","0.350"
"73","Grand Canyon","23","14-4-5","8","0.348"
"74","California","18","8-8-2","6","0.333"
"","Iona","18","9-4-5","6","0.333"
"","UIW","18","5-7-6","6","0.333"
"","UMass Lowell","18","7-7-4","6","0.333"
"","Marshall","21","12-4-5","7","0.333"
"","Jacksonville","18","6-7-5","6","0.333"
"80","St. John's (NY)","19","9-6-4","6","0.316"
"","FIU","19","7-9-3","6","0.316"
"","Cleveland St.","19","9-4-6","6","0.316"
"83","Manhattan","16","4-8-4","5","0.313"
"","UNLV","16","4-6-6","5","0.313"
"","Missouri St.","16","6-6-4","5","0.313"
"","George Mason","16","7-6-3","5","0.313"
"","Michigan St.","16","5-8-3","5","0.313"
"","Gonzaga","16","5-8-3","5","0.313"
"89","UNC Greensboro","23","12-5-6","7","0.304"
"90","Liberty","20","9-5-6","6","0.300"
"","Presbyterian","20","7-8-5","6","0.300"
"","Notre Dame","20","9-7-4","6","0.300"
"","Evansville","20","7-5-8","6","0.300"
"94","UAlbany","17","5-6-6","5","0.294"
"","Bellarmine","17","8-4-5","5","0.294"
"","Harvard","17","6-6-5","5","0.294"
"","Col. of Charleston","17","6-8-3","5","0.294"
"","NJIT","17","3-9-5","5","0.294"
"","Northwestern","17","8-6-3","5","0.294"
"","Rutgers","17","8-6-3","5","0.294"
"","St. Thomas (MN)","17","7-5-5","5","0.294"
"","UMBC","17","6-6-5","5","0.294"
"103","Old Dominion","18","5-5-8","5","0.278"
"","Fairfield","18","8-5-5","5","0.278"
"","UIC","18","10-3-5","5","0.278"
"","New Hampshire","18","5-8-5","5","0.278"
"","San Diego St.","18","7-9-2","5","0.278"
"","Pittsburgh","18","6-7-5","5","0.278"
"","Sacred Heart","18","9-4-5","5","0.278"
"","Saint Francis","18","8-9-1","5","0.278"
"","Saint Joseph's","18","6-7-5","5","0.278"
"112","Denver","22","12-7-3","6","0.273"
"113","Brown","15","6-7-2","4","0.267"
"","St. Bonaventure","15","3-9-3","4","0.267"
"","Xavier","15","5-6-4","4","0.267"
"116","Siena","19","9-5-5","5","0.263"
"","SIUE","19","6-11-2","5","0.263"
"","Indiana","19","12-6-1","5","0.263"
"119","Cal St. Fullerton","20","8-6-6","5","0.250"
"","Drexel","16","4-6-6","4","0.250"
"","Loyola Maryland","16","3-10-3","4","0.250"
"","Marist","16","8-4-4","4","0.250"
"","Marquette","16","7-7-2","4","0.250"
"","UNC Asheville","16","7-7-2","4","0.250"
"","Niagara","16","8-7-1","4","0.250"
"","Providence","16","6-7-3","4","0.250"
"","Saint Peter's","16","4-10-2","4","0.250"
"","FGCU","16","6-7-3","4","0.250"
"129","UCF","21","11-7-3","5","0.238"
"130","Oral Roberts","17","4-10-3","4","0.235"
"","Oregon St.","17","10-5-2","4","0.235"
"","Penn St.","17","5-8-4","4","0.235"
"","Massachusetts","17","6-5-6","4","0.235"
"","Radford","17","2-11-4","4","0.235"
"","VCU","17","6-6-5","4","0.235"
"","Clemson","17","8-6-3","4","0.235"
"","Utah Tech","17","4-7-6","4","0.235"
"","California Baptist","17","10-4-3","4","0.235"
"","UC Riverside","17","4-9-4","4","0.235"
"","NIU","17","8-5-4","4","0.235"
"","Seattle U","17","4-7-6","4","0.235"
"142","Western Mich.","22","8-10-4","5","0.227"
"143","American","18","8-8-2","4","0.222"
"","Stonehill","18","5-10-3","4","0.222"
"","Quinnipiac","18","7-10-1","4","0.222"
"","Detroit Mercy","18","5-10-3","4","0.222"
"147","UAB","15","6-7-2","3","0.200"
"","Lehigh","20","9-5-6","4","0.200"
"","Western Ill.","20","5-11-4","4","0.200"
"150","Merrimack","16","4-9-3","3","0.188"
"","Loyola Chicago","16","4-5-7","3","0.188"
"","UNCW","16","5-9-2","3","0.188"
"","Ohio St.","16","6-10","3","0.188"
"","William & Mary","16","2-10-4","3","0.188"
"155","Stetson","17","6-8-3","3","0.176"
"","Mount St. Mary's","17","3-9-5","3","0.176"
"","Bradley","17","2-9-6","3","0.176"
"","Rhode Island","17","4-8-5","3","0.176"
"","IU Indy","17","6-8-3","3","0.176"
"","Bowling Green","17","5-8-4","3","0.176"
"","South Fla.","17","9-3-5","3","0.176"
"162","Holy Cross","18","4-8-6","3","0.167"
"","UC San Diego","18","2-9-7","3","0.167"
"","Mercer","18","5-9-4","3","0.167"
"","Howard","18","5-11-2","3","0.167"
"","Boston U.","18","10-8","3","0.167"
"167","UC Davis","19","4-9-6","3","0.158"
"","USC Upstate","19","5-11-3","3","0.158"
"","Milwaukee","19","4-7-8","3","0.158"
"170","Coastal Carolina","14","3-9-2","2","0.143"
"171","Northeastern","15","4-7-4","2","0.133"
"","Yale","15","3-9-3","2","0.133"
"","Columbia","15","3-8-4","2","0.133"
"","Memphis","15","4-8-3","2","0.133"
"175","Temple","16","1-13-2","2","0.125"
"","Central Ark.","16","4-10-2","2","0.125"
"","James Madison","16","1-10-5","2","0.125"
"","Monmouth","16","5-8-3","2","0.125"
"","Omaha","16","3-9-4","2","0.125"
"","Canisius","16","5-10-1","2","0.125"
"181","Lipscomb","17","2-9-6","2","0.118"
"","Butler","17","5-10-2","2","0.118"
"","CSU Bakersfield","17","3-11-3","2","0.118"
"","Chicago St.","17","1-15-1","2","0.118"
"","Eastern Ill.","17","4-9-4","2","0.118"
"","George Washington","17","2-11-4","2","0.118"
"","La Salle","17","4-5-8","2","0.118"
"","Northern Ky.","17","4-10-3","2","0.118"
"","Rider","17","2-11-4","2","0.118"
"190","Pacific","18","4-14","2","0.111"
"","LMU (CA)","18","5-6-7","2","0.111"
"","VMI","18","3-12-3","2","0.111"
"","South Carolina","18","7-9-2","2","0.111"
"","Navy","18","3-8-7","2","0.111"
"195","Wofford","19","6-11-2","2","0.105"
"196","UTRGV","10","1-7-2","1","0.100"
"197","Dartmouth","14","3-8-3","1","0.071"
"198","ETSU","15","2-9-4","1","0.067"
"199","Longwood","16","3-8-5","1","0.063"
"","Wright St.","16","2-13-1","1","0.063"
"","Winthrop","16","1-12-3","1","0.063"
"","Saint Mary's (CA)","16","2-8-6","1","0.063"
"203","Air Force","17","1-13-3","1","0.059"
"","Binghamton","17","4-13","1","0.059"
"","Southern Ind.","17","2-10-5","1","0.059"
"206","Georgia St.","18","4-8-6","1","0.056"
"","Oakland","18","3-9-6","1","0.056"
"208","Sacramento St.","18","2-12-4","0","0.000"
"","DePaul","17","2-8-7","0","0.000"
"","Central Conn. St.","17","1-14-2","0","0.000"
Reclassifying
"NR","New Haven","16","5-5-6","6","0.375"
"NR","Le Moyne","17","5-10-2","5","0.294"
"NR","Mercyhurst","17","3-10-4","4","0.235"

NCAA Men's Soccer
Division IWon-Lost-Tied Percentage
Through Games 12/15/2025


"Rank","Name","Won","Loss","Tied","Pct."
"1","Princeton","15","2","2","0.842"
"2","Bryant","17","2","3","0.841"
"3","Vermont","14","1","5","0.825"
"4","Furman","16","2","5","0.804"
"5","High Point","14","2","4","0.800"
"","Portland","14","2","4","0.800"
"7","Delaware","12","2","3","0.794"
"8","Maryland","13","2","4","0.789"
"9","NC State","16","3","4","0.783"
"10","Gardner-Webb","13","3","2","0.778"
"11","San Diego","13","3","3","0.763"
"","Virginia","12","2","5","0.763"
"13","Lindenwood","14","3","4","0.762"
"14","Cornell","14","4","2","0.750"
"","Stanford","14","4","2","0.750"
"","Ga. Southern","13","4","1","0.750"
"17","Georgetown","14","4","4","0.727"
"18","Hofstra","14","5","1","0.725"
"19","Fla. Atlantic","12","4","2","0.722"
"20","Grand Canyon","14","4","5","0.717"
"21","Saint Louis","13","3","8","0.708"
"","Washington","16","6","2","0.708"
"23","San Jose St.","12","4","4","0.700"
"","Michigan","12","4","4","0.700"
"25","UIC","10","3","5","0.694"
"26","FDU","13","5","3","0.690"
"","Kansas City","12","4","5","0.690"
"","Marshall","12","4","5","0.690"
"","West Virginia","13","5","3","0.690"
"","Akron","13","5","3","0.690"
"31","North Florida","12","5","2","0.684"
"32","Drake","8","2","7","0.676"
"","California Baptist","10","4","3","0.676"
"","South Fla.","9","3","5","0.676"
"35","UC Irvine","11","4","6","0.667"
"","Dayton","8","2","8","0.667"
"","UConn","12","5","4","0.667"
"38","Kentucky","10","4","5","0.658"
"","Elon","9","3","7","0.658"
"","Indiana","12","6","1","0.658"
"","Houston Christian","11","5","3","0.658"
"42","UNC Greensboro","12","5","6","0.652"
"43","SMU","11","5","4","0.650"
"","Duke","10","4","6","0.650"
"45","Purdue Fort Wayne","8","3","6","0.647"
"","Belmont","8","3","6","0.647"
"","Oregon St.","10","5","2","0.647"
"48","Bucknell","9","4","5","0.639"
"","Iona","9","4","5","0.639"
"","Sacred Heart","9","4","5","0.639"
"","LIU","8","3","7","0.639"
"52","Utah Valley","8","4","3","0.633"
"53","Cleveland St.","9","4","6","0.632"
"54","Creighton","8","4","4","0.625"
"","Charlotte","8","4","4","0.625"
"","Marist","8","4","4","0.625"
"57","Bellarmine","8","4","5","0.618"
"","San Francisco","10","6","1","0.618"
"59","Denver","12","7","3","0.614"
"60","Siena","9","5","5","0.605"
"","Stony Brook","9","5","5","0.605"
"62","North Carolina","9","5","6","0.600"
"","Lehigh","9","5","6","0.600"
"","Campbell","10","6","4","0.600"
"","Liberty","9","5","6","0.600"
"66","UCF","11","7","3","0.595"
"67","Virginia Tech","7","4","5","0.594"
"68","NIU","8","5","4","0.588"
"","Wake Forest","7","4","6","0.588"
"","Penn","8","5","4","0.588"
"71","Fairfield","8","5","5","0.583"
"72","St. John's (NY)","9","6","4","0.579"
"","Seton Hall","7","4","8","0.579"
"74","Cal Poly","9","6","5","0.575"
"75","Duquesne","8","6","2","0.563"
"76","St. Thomas (MN)","7","5","5","0.559"
"","Rutgers","8","6","3","0.559"
"","Robert Morris","6","4","7","0.559"
"","Clemson","8","6","3","0.559"
"","Northwestern","8","6","3","0.559"
"81","Green Bay","9","7","2","0.556"
"","Fordham","8","6","4","0.556"
"","Boston U.","10","8","0","0.556"
"84","Davidson","9","7","3","0.553"
"","UCLA","8","6","5","0.553"
"86","Notre Dame","9","7","4","0.550"
"","UC Santa Barbara","7","5","8","0.550"
"","Cal St. Fullerton","8","6","6","0.550"
"","Evansville","7","5","8","0.550"
"90","Niagara","8","7","1","0.531"
"","George Mason","7","6","3","0.531"
"92","Massachusetts","6","5","6","0.529"
"93","Santa Clara","6","5","7","0.528"
"","Army West Point","7","6","5","0.528"
"","Villanova","7","6","5","0.528"
"96","Syracuse","9","8","3","0.525"
"97","Lafayette","8","7","7","0.523"
"98","American","8","8","2","0.500"
"","CSUN","6","6","6","0.500"
"","California","8","8","2","0.500"
"","Harvard","6","6","5","0.500"
"","UMass Lowell","7","7","4","0.500"
"","Marquette","7","7","2","0.500"
"","Wisconsin","8","8","0","0.500"
"","UNC Asheville","7","7","2","0.500"
"","Old Dominion","5","5","8","0.500"
"","Missouri St.","6","6","4","0.500"
"","VCU","6","6","5","0.500"
"","UMBC","6","6","5","0.500"
"110","Presbyterian","7","8","5","0.475"
"111","Jacksonville","6","7","5","0.472"
"","Pittsburgh","6","7","5","0.472"
"","Saint Joseph's","6","7","5","0.472"
"","Saint Francis","8","9","1","0.472"
"","LMU (CA)","5","6","7","0.472"
"116","Queens (NC)","5","6","6","0.471"
"","UAlbany","5","6","6","0.471"
"","La Salle","4","5","8","0.471"
"119","Loyola Chicago","4","5","7","0.469"
"","Providence","6","7","3","0.469"
"","FGCU","6","7","3","0.469"
"122","Xavier","5","6","4","0.467"
"","Brown","6","7","2","0.467"
"","UAB","6","7","2","0.467"
"125","Western Mich.","8","10","4","0.455"
"126","FIU","7","9","3","0.447"
"127","San Diego St.","7","9","2","0.444"
"","South Carolina","7","9","2","0.444"
"","UIW","5","7","6","0.444"
"130","Col. of Charleston","6","8","3","0.441"
"","IU Indy","6","8","3","0.441"
"","Stetson","6","8","3","0.441"
"","Louisville","5","7","5","0.441"
"","Boston College","7","9","1","0.441"
"","Colgate","5","7","5","0.441"
"136","Drexel","4","6","6","0.438"
"","UNLV","4","6","6","0.438"
"138","Milwaukee","4","7","8","0.421"
"139","New Hampshire","5","8","5","0.417"
"","Quinnipiac","7","10","1","0.417"
"141","Seattle U","4","7","6","0.412"
"","Utah Tech","4","7","6","0.412"
"","Bowling Green","5","8","4","0.412"
"","Penn St.","5","8","4","0.412"
"145","Michigan St.","5","8","3","0.406"
"","Gonzaga","5","8","3","0.406"
"","Monmouth","5","8","3","0.406"
"148","Northeastern","4","7","4","0.400"
"149","Mercer","5","9","4","0.389"
"","Georgia St.","4","8","6","0.389"
"","Tulsa","5","9","4","0.389"
"","Holy Cross","4","8","6","0.389"
"153","Rhode Island","4","8","5","0.382"
"154","Manhattan","4","8","4","0.375"
"","Ohio St.","6","10","0","0.375"
"","UNCW","5","9","2","0.375"
"157","SIUE","6","11","2","0.368"
"","Wofford","6","11","2","0.368"
"","UC Davis","4","9","6","0.368"
"160","Memphis","4","8","3","0.367"
"161","Navy","3","8","7","0.361"
"","Detroit Mercy","5","10","3","0.361"
"","Stonehill","5","10","3","0.361"
"164","Butler","5","10","2","0.353"
"","UC Riverside","4","9","4","0.353"
"","Eastern Ill.","4","9","4","0.353"
"167","Western Ill.","5","11","4","0.350"
"168","Merrimack","4","9","3","0.344"
"","Canisius","5","10","1","0.344"
"","Longwood","3","8","5","0.344"
"171","USC Upstate","5","11","3","0.342"
"172","Columbia","3","8","4","0.333"
"","Oakland","3","9","6","0.333"
"","Howard","5","11","2","0.333"
"175","Mount St. Mary's","3","9","5","0.324"
"","DePaul","2","8","7","0.324"
"","Oral Roberts","4","10","3","0.324"
"","NJIT","3","9","5","0.324"
"","Northern Ky.","4","10","3","0.324"
"180","Dartmouth","3","8","3","0.321"
"181","Omaha","3","9","4","0.313"
"","Central Ark.","4","10","2","0.313"
"","Saint Peter's","4","10","2","0.313"
"","Saint Mary's (CA)","2","8","6","0.313"
"185","UC San Diego","2","9","7","0.306"
"186","Yale","3","9","3","0.300"
"","St. Bonaventure","3","9","3","0.300"
"188","Lipscomb","2","9","6","0.294"
"","Bradley","2","9","6","0.294"
"190","Coastal Carolina","3","9","2","0.286"
"191","Loyola Maryland","3","10","3","0.281"
"192","ETSU","2","9","4","0.267"
"193","Southern Ind.","2","10","5","0.265"
"","CSU Bakersfield","3","11","3","0.265"
"195","William & Mary","2","10","4","0.250"
"","VMI","3","12","3","0.250"
"197","Binghamton","4","13","0","0.235"
"","Rider","2","11","4","0.235"
"","Radford","2","11","4","0.235"
"","George Washington","2","11","4","0.235"
"201","Pacific","4","14","0","0.222"
"","Sacramento St.","2","12","4","0.222"
"203","James Madison","1","10","5","0.219"
"204","UTRGV","1","7","2","0.200"
"205","Wright St.","2","13","1","0.156"
"","Winthrop","1","12","3","0.156"
"207","Air Force","1","13","3","0.147"
"208","Temple","1","13","2","0.125"
"209","Central Conn. St.","1","14","2","0.118"
"210","Chicago St.","1","15","1","0.088"
Reclassifying
"NR","New Haven","5","5","6","0.500"
"NR","Le Moyne","5","10","2","0.353"
"NR","Mercyhurst","3","10","4","0.294"

NCAA Men's Soccer
Division IPenalty Kicks
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","PS","psatt","Pct."
"1","St. John's (NY)","19","9-6-4","7","7","1.000"
"","SMU","20","11-5-4","7","7","1.000"
"","Wake Forest","17","7-4-6","6","6","1.000"
"","Detroit Mercy","18","5-10-3","6","6","1.000"
"","California Baptist","17","10-4-3","6","6","1.000"
"","Bradley","17","2-9-6","5","5","1.000"
"","UC Irvine","21","11-4-6","5","5","1.000"
"","Saint Louis","24","13-3-8","5","5","1.000"
"","Marshall","21","12-4-5","5","5","1.000"
"","Mount St. Mary's","17","3-9-5","5","5","1.000"
"","Georgetown","22","14-4-4","5","5","1.000"
"","South Fla.","17","9-3-5","4","4","1.000"
"","West Virginia","21","13-5-3","4","4","1.000"
"","Grand Canyon","23","14-4-5","4","4","1.000"
"","Bellarmine","17","8-4-5","4","4","1.000"
"","Cal St. Fullerton","20","8-6-6","4","4","1.000"
"","San Francisco","17","10-6-1","4","4","1.000"
"","Kentucky","19","10-4-5","4","4","1.000"
"","Northern Ky.","17","4-10-3","4","4","1.000"
"","Princeton","19","15-2-2","4","4","1.000"
"","San Diego","19","13-3-3","4","4","1.000"
"","Houston Christian","19","11-5-3","4","4","1.000"
"","Navy","18","3-8-7","3","3","1.000"
"","Saint Mary's (CA)","16","2-8-6","3","3","1.000"
"","Kansas City","21","12-4-5","3","3","1.000"
"","Belmont","17","8-3-6","3","3","1.000"
"","Utah Tech","17","4-7-6","3","3","1.000"
"","Bowling Green","17","5-8-4","3","3","1.000"
"","CSUN","18","6-6-6","3","3","1.000"
"","Sacramento St.","18","2-12-4","3","3","1.000"
"","Creighton","16","8-4-4","3","3","1.000"
"","Fla. Atlantic","18","12-4-2","3","3","1.000"
"","Furman","23","16-2-5","3","3","1.000"
"","George Mason","16","7-6-3","3","3","1.000"
"","Iona","18","9-4-5","3","3","1.000"
"","Marquette","16","7-7-2","3","3","1.000"
"","UNC Greensboro","23","12-5-6","3","3","1.000"
"","Omaha","16","3-9-4","3","3","1.000"
"","Penn","17","8-5-4","3","3","1.000"
"","St. Bonaventure","15","3-9-3","3","3","1.000"
"","Presbyterian","20","7-8-5","3","3","1.000"
"","Missouri St.","16","6-6-4","2","2","1.000"
"","Pacific","18","4-14","2","2","1.000"
"","VMI","18","3-12-3","2","2","1.000"
"","Green Bay","18","9-7-2","2","2","1.000"
"","Wisconsin","16","8-8","2","2","1.000"
"","Yale","15","3-9-3","2","2","1.000"
"","Col. of Charleston","17","6-8-3","2","2","1.000"
"","Wofford","19","6-11-2","2","2","1.000"
"","USC Upstate","19","5-11-3","2","2","1.000"
"","High Point","20","14-2-4","2","2","1.000"
"","Boston College","17","7-9-1","2","2","1.000"
"","Bryant","22","17-2-3","2","2","1.000"
"","UC Davis","19","4-9-6","2","2","1.000"
"","Clemson","17","8-6-3","2","2","1.000"
"","UConn","21","12-5-4","2","2","1.000"
"","Gonzaga","16","5-8-3","2","2","1.000"
"","Jacksonville","18","6-7-5","2","2","1.000"
"","UMBC","17","6-6-5","2","2","1.000"
"","North Carolina","20","9-5-6","2","2","1.000"
"","Charlotte","16","8-4-4","2","2","1.000"
"","UNCW","16","5-9-2","2","2","1.000"
"","Oakland","18","3-9-6","2","2","1.000"
"","Ohio St.","16","6-10","2","2","1.000"
"","Oral Roberts","17","4-10-3","2","2","1.000"
"","Army West Point","18","7-6-5","2","2","1.000"
"","South Carolina","18","7-9-2","1","1","1.000"
"","Stanford","20","14-4-2","1","1","1.000"
"","Stonehill","18","5-10-3","1","1","1.000"
"","Temple","16","1-13-2","1","1","1.000"
"","Vermont","20","14-1-5","1","1","1.000"
"","William & Mary","16","2-10-4","1","1","1.000"
"","UIW","18","5-7-6","1","1","1.000"
"","Queens (NC)","17","5-6-6","1","1","1.000"
"","UAlbany","17","5-6-6","1","1","1.000"
"","Binghamton","17","4-13","1","1","1.000"
"","Boston U.","18","10-8","1","1","1.000"
"","UCLA","19","8-6-5","1","1","1.000"
"","Canisius","16","5-10-1","1","1","1.000"
"","Columbia","15","3-8-4","1","1","1.000"
"","Dartmouth","14","3-8-3","1","1","1.000"
"","Delaware","17","12-2-3","1","1","1.000"
"","George Washington","17","2-11-4","1","1","1.000"
"","Holy Cross","18","4-8-6","1","1","1.000"
"","James Madison","16","1-10-5","1","1","1.000"
"","New Hampshire","18","5-8-5","1","1","1.000"
"","Northeastern","15","4-7-4","1","1","1.000"
"","Northwestern","17","8-6-3","1","1","1.000"
"","UTRGV","10","1-7-2","1","1","1.000"
"","Penn St.","17","5-8-4","1","1","1.000"
"","Providence","16","6-7-3","1","1","1.000"
"","San Jose St.","20","12-4-4","1","1","1.000"
"93","Michigan","20","12-4-4","9","10","0.900"
"94","Xavier","15","5-6-4","7","8","0.875"
"95","Milwaukee","19","4-7-8","6","7","0.857"
"","Hofstra","20","14-5-1","6","7","0.857"
"97","Evansville","20","7-5-8","5","6","0.833"
"","Akron","21","13-5-3","5","6","0.833"
"99","DePaul","17","2-8-7","4","5","0.800"
"","California","18","8-8-2","4","5","0.800"
"","Cal Poly","20","9-6-5","4","5","0.800"
"","Oregon St.","17","10-5-2","4","5","0.800"
"","Utah Valley","15","8-4-3","4","5","0.800"
"","Quinnipiac","18","7-10-1","4","5","0.800"
"","Indiana","19","12-6-1","4","5","0.800"
"","Drake","17","8-2-7","4","5","0.800"
"107","Rhode Island","17","4-8-5","3","4","0.750"
"","Elon","19","9-3-7","3","4","0.750"
"","Saint Peter's","16","4-10-2","3","4","0.750"
"","Seton Hall","19","7-4-8","3","4","0.750"
"","Villanova","18","7-6-5","3","4","0.750"
"","American","18","8-8-2","3","4","0.750"
"","Lehigh","20","9-5-6","3","4","0.750"
"","Merrimack","16","4-9-3","3","4","0.750"
"115","Denver","22","12-7-3","5","7","0.714"
"116","Duke","20","10-4-6","4","6","0.667"
"","LMU (CA)","18","5-6-7","4","6","0.667"
"","Saint Joseph's","18","6-7-5","4","6","0.667"
"","Maryland","19","13-2-4","4","6","0.667"
"","Niagara","16","8-7-1","2","3","0.667"
"","San Diego St.","18","7-9-2","2","3","0.667"
"","Memphis","15","4-8-3","2","3","0.667"
"","UNC Asheville","16","7-7-2","2","3","0.667"
"","Michigan St.","16","5-8-3","2","3","0.667"
"","UAB","15","6-7-2","2","3","0.667"
"","Western Ill.","20","5-11-4","2","3","0.667"
"","Eastern Ill.","17","4-9-4","2","3","0.667"
"","Saint Francis","18","8-9-1","2","3","0.667"
"","IU Indy","17","6-8-3","2","3","0.667"
"","Dayton","18","8-2-8","2","3","0.667"
"","St. Thomas (MN)","17","7-5-5","2","3","0.667"
"","Manhattan","16","4-8-4","2","3","0.667"
"","Cleveland St.","19","9-4-6","2","3","0.667"
"134","Stony Brook","19","9-5-5","3","5","0.600"
"","Campbell","20","10-6-4","3","5","0.600"
"","Lafayette","22","8-7-7","3","5","0.600"
"137","NC State","23","16-3-4","4","7","0.571"
"138","SIUE","19","6-11-2","3","6","0.500"
"","Ga. Southern","18","13-4-1","3","6","0.500"
"","La Salle","17","4-5-8","2","4","0.500"
"","Robert Morris","17","6-4-7","2","4","0.500"
"","Southern Ind.","17","2-10-5","2","4","0.500"
"","Syracuse","20","9-8-3","2","4","0.500"
"","Bucknell","18","9-4-5","1","2","0.500"
"","CSU Bakersfield","17","3-11-3","1","2","0.500"
"","Western Mich.","22","8-10-4","1","2","0.500"
"","Sacred Heart","18","9-4-5","1","2","0.500"
"","Pittsburgh","18","6-7-5","1","2","0.500"
"","UNLV","16","4-6-6","1","2","0.500"
"","Massachusetts","17","6-5-6","1","2","0.500"
"","Liberty","20","9-5-6","1","2","0.500"
"","Fordham","18","8-6-4","1","2","0.500"
"","Davidson","19","9-7-3","1","2","0.500"
"","UCF","21","11-7-3","1","2","0.500"
"155","Gardner-Webb","18","13-3-2","1","3","0.333"
"","UMass Lowell","18","7-7-4","1","3","0.333"
"","Rutgers","17","8-6-3","1","3","0.333"
"","Portland","20","14-2-4","1","3","0.333"
"","Virginia","19","12-2-5","1","3","0.333"
"","Central Conn. St.","17","1-14-2","1","3","0.333"
"","VCU","17","6-6-5","1","3","0.333"
"","NIU","17","8-5-4","1","3","0.333"
"163","Cornell","20","14-4-2","1","4","0.250"
"","Lindenwood","21","14-3-4","1","4","0.250"
"","UIC","18","10-3-5","1","4","0.250"
"166","Washington","24","16-6-2","0","3","0.000"
"","Longwood","16","3-8-5","0","2","0.000"
"","Fairfield","18","8-5-5","0","2","0.000"
"","Loyola Chicago","16","4-5-7","0","1","0.000"
"","Wright St.","16","2-13-1","0","1","0.000"
"","Virginia Tech","16","7-4-5","0","1","0.000"
"","ETSU","15","2-9-4","0","1","0.000"
"","Tulsa","18","5-9-4","0","1","0.000"
"","Stetson","17","6-8-3","0","1","0.000"
"","Siena","19","9-5-5","0","1","0.000"
"","Rider","17","2-11-4","0","1","0.000"
"","LIU","18","8-3-7","0","1","0.000"
"","Purdue Fort Wayne","17","8-3-6","0","1","0.000"
"","Mercer","18","5-9-4","0","1","0.000"
"","Harvard","17","6-6-5","0","1","0.000"
"","Butler","17","5-10-2","0","1","0.000"
"","Seattle U","17","4-7-6","0","1","0.000"
"","Colgate","17","5-7-5","0","1","0.000"
"","Brown","15","6-7-2","0","1","0.000"
"","North Florida","19","12-5-2","0","1","0.000"
"","Santa Clara","18","6-5-7","0","0","0.000"
"","Air Force","17","1-13-3","0","0","0.000"
"","Winthrop","16","1-12-3","0","0","0.000"
"","Central Ark.","16","4-10-2","0","0","0.000"
"","Lipscomb","17","2-9-6","0","0","0.000"
"","Radford","17","2-11-4","0","0","0.000"
"","Old Dominion","18","5-5-8","0","0","0.000"
"","Notre Dame","20","9-7-4","0","0","0.000"
"","NJIT","17","3-9-5","0","0","0.000"
"","Monmouth","16","5-8-3","0","0","0.000"
"","Marist","16","8-4-4","0","0","0.000"
"","FGCU","16","6-7-3","0","0","0.000"
"","Louisville","17","5-7-5","0","0","0.000"
"","Howard","18","5-11-2","0","0","0.000"
"","Georgia St.","18","4-8-6","0","0","0.000"
